BTNL3
BTNL8
ISX
REG4
ADD3
VIL1
USH1C
SOAT2
SLC39A5
CDCA3
AMN
SLC7A7
GATM
CALML4
CCL15
MYO15B
GIPC2
MYO7B
GPR35
UGT2A3
SOWAHA
TRIM15
ANXA13
KIF12
RFK
