Hsz-NTRK1 2000 1000 T083823-NTRK1
rank,node,Fabs,Frel,Class
1,t026425,2008,1.0,??
2,t020315,2011,1.0,??
3,t188597,2009,1.0,??
4,t044904,2008,1.0,??
5,t014127,2011,1.0,??
6,t061648,2010,1.0,??
7,t038904,2006,1.0,??
8,t057479,2009,1.0,??
9,t083290,2005,1.0,??
10,t066338,2010,1.0,??
11,t095076,2004,1.0,??
12,t055213,2006,1.0,??
13,t114803,2007,1.0,??
14,t026503,2007,1.0,??
15,t094866,2007,1.0,??
16,t074113,2015,1.0,??
17,t059969,2011,0.999502982107,??
18,t132742,2010,0.999502734958,??
19,t080200,2009,0.999502487562,??
20,t063415,2009,0.999502487562,??
21,t135948,2011,0.999006458023,??
22,t009329,2009,0.997517378352,??
23,t092556,2003,0.997509960159,??
24,t093325,2005,0.997016409746,??
25,t028512,2005,0.996520874751,??
26,t072929,2003,0.996517412935,??
27,t149256,2003,0.996517412935,??
28,t194238,2000,0.996512207275,??
29,t010630,2004,0.996023856859,??
30,t135606,2000,0.996015936255,??
31,t161659,2002,0.99552461462,??
32,t164188,1997,0.995513459621,??
33,t047948,2002,0.995029821074,??
34,t089491,1999,0.994527363184,??
35,t074605,1996,0.99451918286,??
36,t161051,1995,0.994516450648,??
37,t030390,1997,0.994026879044,??
38,t022471,1996,0.993529118965,??
39,t165381,1995,0.993525896414,??
40,t085148,1998,0.993041749503,??
41,t065009,1997,0.993038289408,??
42,t184482,1993,0.993024414549,??
43,t152732,1996,0.992541024366,??
44,t190007,1992,0.99203187251,??
45,t135589,1995,0.991550695825,??
46,t055143,1991,0.991040318566,??
47,t121183,1990,0.991035856574,??
48,t046686,1990,0.991035856574,??
49,t046901,1990,0.990542558487,??
50,t134549,1989,0.990537848606,??
51,t162947,1987,0.990034877927,??
52,t141726,1984,0.989526184539,??
53,t166073,1989,0.988568588469,??
54,t109612,1988,0.988562904028,??
55,t027887,1981,0.986553784861,??
56,t162700,1978,0.985550572995,??
57,t164257,1976,0.983084577114,??
58,t046663,1970,0.982053838485,??
59,t027454,1972,0.981582877053,??
60,t021125,1973,0.978670634921,??
61,t092792,1967,0.978606965174,??
62,t121741,1962,0.977578475336,??
63,t050994,1967,0.97617866005,??
64,t091446,1961,0.976107516177,??
65,t076926,1956,0.973618715779,??
66,t178681,1951,0.973067331671,??
67,t200020,1953,0.97212543554,??
68,t083805,1955,0.970705064548,??
69,t020979,1954,0.969727047146,??
70,t106657,1943,0.968594217348,??
71,t158634,1945,0.967661691542,??
72,t074110,1950,0.967261904762,??
73,t088515,1947,0.967213114754,??
74,t092387,1943,0.967147834744,??
75,t047946,1944,0.9662027833,??
76,t124808,1942,0.965688712084,??
77,t129555,1941,0.965671641791,??
78,t017077,1937,0.965122072745,??
79,t120780,1937,0.964641434263,??
80,t196388,1932,0.964071856287,??
81,t035117,1938,0.963699651914,??
82,t182522,1935,0.962207856788,??
83,t107497,1932,0.961672473868,??
84,t155195,1932,0.959761549925,??
85,t163337,1930,0.959721531576,??
86,t093779,1923,0.957192633151,??
87,t059974,1923,0.957192633151,??
88,t085897,1926,0.956305858987,??
89,t015099,1924,0.955787382017,??
90,t081325,1920,0.955699352912,??
91,t049619,1916,0.955134596211,??
92,t198836,1919,0.954726368159,??
93,t077183,1914,0.954613466334,??
94,t164074,1917,0.954206072673,??
95,t094069,1913,0.953163926258,??
96,t027142,1916,0.952759820985,??
97,t176653,1914,0.952712792434,??
98,t164172,1907,0.950648055833,??
99,t200021,1907,0.950174389636,??
100,t071928,1912,0.949826130154,??
101,t037029,1907,0.948756218905,??
102,t071275,1902,0.947683109118,??
103,t025434,1902,0.947211155378,??
104,t015709,1899,0.947132169576,??
105,t083824,1899,0.945717131474,??
106,t044899,1895,0.944666001994,??
107,t088411,1898,0.942871336314,??
108,t106595,1892,0.942231075697,??
109,t179317,1889,0.940737051793,??
110,t081175,1889,0.940268790443,??
111,t055073,1883,0.937749003984,??
112,t061641,1882,0.937717987045,??
113,t053599,1887,0.93740685544,??
114,t089937,1883,0.937282229965,??
115,t173340,1880,0.934858279463,??
116,t092396,1877,0.934760956175,??
117,t063438,1873,0.932304629169,??
118,t053523,1873,0.93184079602,??
119,t116527,1870,0.931274900398,??
120,t108001,1877,0.931051587302,??
121,t179562,1869,0.929388363998,??
122,t035613,1868,0.929353233831,??
123,t053248,1869,0.928926441352,??
124,t055278,1868,0.928891098956,??
125,t034765,1862,0.927752864973,??
126,t090314,1862,0.926829268293,??
127,t105197,1862,0.924987580725,??
128,t093778,1858,0.923918448533,??
129,t091456,1857,0.923880597015,??
130,t069817,1852,0.922770303936,??
131,t030385,1851,0.922731804586,??
132,t071813,1851,0.922272047833,??
133,t107044,1852,0.921393034826,??
134,t033835,1851,0.921353907417,??
135,t022374,1851,0.920895522388,??
136,t074360,1852,0.91956305859,??
137,t085801,1839,0.918122815776,??
138,t121752,1844,0.917869586859,??
139,t110976,1846,0.917495029821,??
140,t055912,1842,0.9168740667,??
141,t158336,1839,0.915380786461,??
142,t140344,1840,0.914967677772,??
143,t098125,1836,0.914798206278,??
144,t096405,1834,0.912437810945,??
145,t163207,1836,0.911618669315,??
146,t106723,1830,0.90999502735,??
147,t084730,1828,0.909905425585,??
148,t071216,1825,0.908864541833,??
149,t100033,1821,0.90777666999,??
150,t061265,1823,0.906965174129,??
151,t054672,1818,0.906733167082,??
152,t197402,1812,0.904191616766,??
153,t062663,1808,0.902195608782,??
154,t162895,1812,0.901044256589,??
155,t094792,1815,0.900297619048,??
156,t184785,1811,0.900099403579,??
157,t049868,1811,0.899652260308,??
158,t109971,1808,0.898608349901,??
159,t073342,1807,0.898111332008,??
160,t122674,1803,0.896568871208,??
161,t152131,1799,0.895916334661,??
162,t126387,1796,0.895760598504,??
163,t017092,1797,0.894920318725,??
164,t044340,1800,0.894187779434,??
165,t092540,1794,0.893871449925,??
166,t108624,1794,0.893426294821,??
167,t097102,1794,0.890322580645,??
168,t182517,1790,0.887456618741,??
169,t075685,1778,0.885458167331,??
170,t005572,1775,0.884845463609,??
171,t059229,1774,0.883026381284,??
172,t200166,1765,0.878984063745,??
173,t182179,1764,0.878486055777,??
174,t046638,1758,0.877245508982,??
175,t130402,1753,0.874314214464,??
176,t128763,1752,0.874251497006,??
177,t030387,1755,0.873568939771,??
178,t069816,1755,0.873568939771,??
179,t044203,1756,0.873197414222,??
180,t077184,1748,0.872255489022,??
181,t047920,1750,0.870646766169,??
182,t114719,1752,0.870342771982,??
183,t164082,1750,0.870213823968,??
184,t006417,1748,0.869219293884,??
185,t004705,1747,0.867858917039,??
186,t106672,1738,0.865969108122,??
187,t201295,1738,0.865537848606,??
188,t051622,1742,0.864945382324,??
189,t097506,1740,0.864811133201,??
190,t049496,1732,0.864271457086,??
191,t170711,1735,0.863613738178,??
192,t100065,1735,0.863184079602,??
193,t085811,1731,0.862051792829,??
194,t191467,1729,0.861914257228,??
195,t121102,1717,0.857214178732,??
196,t098134,1725,0.856929955291,??
197,t052297,1715,0.854935194417,??
198,t157422,1706,0.850872817955,??
199,t027124,1704,0.849451645065,??
200,t190440,1703,0.846842366982,??
201,t133659,1692,0.842629482072,??
202,t138267,1691,0.842551071251,??
203,t055765,1681,0.838403990025,??
204,t199477,1683,0.837313432836,??
205,t012048,1678,0.836073741903,??
206,t198320,1678,0.835241413639,??
207,t018928,1678,0.833996023857,??
208,t169936,1669,0.830761572922,??
209,t093462,1663,0.829012961117,??
210,t172705,1664,0.827860696517,??
211,t019657,1661,0.825546719682,??
212,t034465,1660,0.824639841033,??
