T000217,"p1@NDUFB8
T000218,p1@HIF1AN
T000226,p8@PAX2
T000227,p4@PAX2
T000232,p9@PAX2
T000233,p11@PAX2
T000234,p6@PAX2
T000235,p1@PAX2
T000236,p2@PAX2
T000237,p5@PAX2
T000238,p10@PAX2
T000239,p13@PAX2
T000240,p14@PAX2
T000241,p3@PAX2
T000244,p1@FAM178A
T000245,p2@FAM178A
T000246,p1@SEMA4G
T000247,p2@SEMA4G
T000250,p4@MRPL43
T000251,p2@MRPL43
T000252,p3@MRPL43
T000253,p1@MRPL43
T000254,p1@C10orf2
T000255,p2@LZTS2
T000256,p4@LZTS2
T000257,p6@LZTS2
T000258,p14@LZTS2
T000259,p15@LZTS2
T000260,p3@LZTS2
T000263,p7@LZTS2
T000264,p5@LZTS2
T000265,p1@LZTS2
T000267,p1@PDZD7
T000268,p2@SFXN3
T000269,p10@SFXN3
T000270,p5@SFXN3
T000271,p6@SFXN3
T000273,p4@SFXN3
T000274,p1@SFXN3
T000275,p3@SFXN3
T000281,p3@KAZALD1
T000282,p10@KAZALD1
T000283,p2@KAZALD1
T000284,p4@KAZALD1
T000285,p9@KAZALD1
T000286,p1@KAZALD1
T000288,p5@KAZALD1
T000289,p7@KAZALD1
T000291,p4@TLX1
T000292,p2@TLX1
T000293,p1@TLX1NB
T000294,p9@TLX1
T000295,p7@TLX1
T000296,p6@TLX1
T000297,p1@TLX1
T000298,p3@TLX1
T000301,p2@LBX1
T000302,p1@LBX1
T000305,p4@BTRC
T000306,p3@BTRC
T000307,p2@BTRC
T000308,p1@BTRC
T000319,p6@POLL
T000320,p3@POLL
T000321,p1@POLL
T000322,p2@DPCD
T000323,p1@DPCD
T000326,p3@FBXW4
T000327,p1@GTPBP4
T000329,p1@FBXW4
T000330,p3@GTPBP4
T000331,p4@GTPBP4
T000334,p3@FGF8
T000335,p1@FGF8
T000336,p2@FGF8
T000337,p6@FGF8
T000338,p5@FGF8
T000340,p1@NPM3
T000342,p4@MGEA5
T000343,p3@MGEA5
T000346,p2@MGEA5
T000347,p1@MGEA5
T000353,p3@KCNIP2
T000354,p5@KCNIP2
T000355,p1@KCNIP2
T000356,p2@KCNIP2
T000357,p4@KCNIP2
T000358,p5@C10orf76
T000365,p1@C10orf76
T000366,p2@C10orf76
T000367,p1@HPS6
T000368,p2@HPS6
T000371,p12@LDB1
T000372,p6@LDB1
T000373,p13@LDB1
T000374,p2@LDB1
T000378,p4@LDB1
T000379,p1@LDB1
T000380,p5@LDB1
T000381,p3@LDB1
T000382,p7@LDB1
T000383,p9@LDB1
T000384,p11@LDB1
T000385,p8@LDB1
T000388,p1@PPRC1
T000391,p2@PPRC1
T000392,p2@NOLC1
T000393,p3@NOLC1
T000394,p1@NOLC1
T000400,p2@ELOVL3
T000401,p3@ELOVL3
T000402,p4@ELOVL3
T000404,p1@PITX3
T000405,p2@PITX3
T000406,p1@GBF1
T000410,p3@NFKB2
T000411,p5@NFKB2
T000418,p18@NFKB2
T000421,p19@NFKB2
T000422,p1@NFKB2
T000423,p2@NFKB2
T000424,p4@NFKB2
T000425,p6@NFKB2
T000430,p17@NFKB2
T000436,p1@PSD
T000437,p9@PSD
T000441,p5@PSD
T000442,p2@PSD
T000443,p6@PSD
T000444,p4@PSD
T000445,p5@FBXL15
T000446,p3@PSD
T000447,p8@PSD
T000448,p7@PSD
T000449,p1@FBXL15
T000450,p2@FBXL15
T000451,p3@FBXL15
T000454,p4@CUEDC2
T000455,p1@CUEDC2
T000456,p2@CUEDC2
T000459,p6@C10orf95
T000460,p4@C10orf95
T000461,p1@C10orf95
T000462,p2@C10orf95
T000463,p3@C10orf95
T000465,p1@TMEM180
T000467,p3@ACTR1A
T000470,p2@ACTR1A
T000471,p1@ACTR1A
T000472,p1@SUFU
T000473,p2@SUFU
T000474,p3@SUFU
T000491,p4@TRIM8
T000492,p26@TRIM8
T000493,p1@TRIM8
T000494,p8@TRIM8
T000495,p2@TRIM8
T000500,p33@TRIM8
T000501,p6@TRIM8
T000504,p3@TRIM8
T000505,p24@TRIM8
T000507,p3@ARL3
T000508,p2@ARL3
T000509,p1@ARL3
T000510,p2@SFXN2
T000511,p1@SFXN2
T000512,p5@SFXN2
T000513,p4@SFXN2
T000514,p1@C10orf26
T000515,p6@C10orf26
T000519,p10@C10orf26
T000520,p5@C10orf26
T000521,p2@C10orf26
T000522,p4@C10orf26
T000523,p18@C10orf26
T000524,p19@C10orf26
T000527,p11@C10orf26
T000534,p20@C10orf26
T000535,p3@C10orf26
T000539,p3@CYP17A1
T000541,p2@CYP17A1
T000542,p1@CYP17A1
T000543,p5@CYP17A1
T000544,p4@CYP17A1
T000545,p6@CYP17A1
T000546,p2@C10orf32
T000547,p1@C10orf32
T000549,p1@AS3MT
T000550,p3@AS3MT
T000551,p6@AS3MT
T000552,p1@CNNM2
T000553,p3@CNNM2
T000554,p4@CNNM2
T000555,p2@CNNM2
T000556,p8@CNNM2
T000559,p4@NT5C2
T000562,p2@NT5C2
T000563,p6@NT5C2
T000564,p16@NT5C2
T000565,p8@NT5C2
T000566,p5@NT5C2
T000567,p3@NT5C2
T000572,p1@NT5C2
T000576,p17@INA
T000577,p1@INA
T000578,p3@INA
T000579,p12@INA
T000581,p2@INA
T000582,p6@INA
T000583,p7@INA
T000584,p4@INA
T000585,p16@INA
T000586,p13@INA
T000601,p8@INA
T000602,p18@INA
T000603,p3@PCGF6
T000604,p1@PCGF6
T000605,p2@PCGF6
T000606,p1@TAF5
T000608,p1@USMG5
T000609,p1@PDCD11
T000610,p2@PDCD11
T000613,p5@CALHM2
T000614,p4@CALHM2
T000615,p7@CALHM2
T000616,p2@CALHM2
T000617,p1@CALHM2
T000618,p3@CALHM2
T000620,p21@NEURL
T000621,p15@NEURL
T000622,p8@NEURL
T000623,p5@NEURL
T000624,p10@NEURL
T000625,p11@NEURL
T000626,p13@NEURL
T000627,p22@NEURL
T000628,p19@NEURL
T000629,p2@NEURL
T000630,p6@NEURL
T000635,p12@NEURL
T000636,p3@NEURL
T000637,p4@NEURL
T000638,p9@NEURL
T000640,p7@NEURL
T000641,p16@NEURL
T000642,p14@NEURL
T000643,p1@NEURL
T000650,p1@SH3PXD2A
T000651,p2@SH3PXD2A
T000652,p13@SH3PXD2A
T000653,p5@SH3PXD2A
T000654,p25@SH3PXD2A
T000655,p26@SH3PXD2A
T000656,p4@SH3PXD2A
T000657,p22@SH3PXD2A
T000658,p10@SH3PXD2A
T000659,p7@SH3PXD2A
T000660,p9@SH3PXD2A
T000670,p6@SH3PXD2A
T000671,p8@SH3PXD2A
T000672,p3@SH3PXD2A
T000673,p17@SH3PXD2A
T000683,p5@OBFC1
T000684,p7@OBFC1
T000685,p4@OBFC1
T000686,p2@OBFC1
T000687,p3@OBFC1
T000688,p1@OBFC1
T000690,p1@SLK
T000699,p7@COL17A1
T000707,p12@COL17A1
T000713,p2@COL17A1
T000714,p1@COL17A1
T000715,p3@COL17A1
T000716,p6@COL17A1
T000717,p4@COL17A1
T000718,p5@COL17A1
T000719,p8@COL17A1
T000720,p9@COL17A1
T000733,p12@SFR1
T000734,p5@SFR1
T000735,p4@SFR1
T000736,p10@SFR1
T000737,p8@SFR1
T000741,p3@SFR1
T000742,p2@SFR1
T000743,p1@SFR1
T000744,p11@SFR1
T000745,p1@WDR96
T000752,p9@GSTO1
T000753,p2@GSTO1
T000754,p1@GSTO1
T000759,p6@GSTO2
T000760,p4@GSTO2
T000761,p1@MIR4482-1
T000762,p3@GSTO2
T000763,p5@GSTO2
T000764,p2@GSTO2
T000765,p1@GSTO2
T000770,p11@ITPRIP
T000775,p12@ITPRIP
T000776,p2@ITPRIP
T000777,p1@ITPRIP
T000779,p3@ITPRIP
T000789,p2@CCDC147
T000790,p1@CCDC147
T000796,p5@SORCS3
T000797,p2@SORCS3
T000798,p1@SORCS3
T000804,p1@IDI2-AS1
T000805,p1@IDI2
T000806,p1@YWHAZP5
T000819,p10@SFTA1P
T000820,p6@SFTA1P
T000821,p8@SFTA1P
T000822,p3@SFTA1P
T000823,p4@SFTA1P
T000824,p1@SFTA1P
T000825,p2@SFTA1P
T000826,p9@SFTA1P
T000838,p3@SORCS1
T000839,p1@SORCS1
T000840,p2@SORCS1
T000841,p4@SORCS1
T000853,p9@IDI1
T000854,p7@IDI1
T000857,p1@IDI1
T000859,p2@IDI1
T000861,p3@WDR37
T000875,p1@WDR37
T000876,p3@IDI1
T000877,p2@WDR37
T000890,p21@CELF2
T000891,p24@CELF2
T000892,p15@CELF2
T000893,p4@CELF2
T000894,p11@CELF2
T000899,p3@CELF2
T000900,p16@CELF2
T000901,p12@CELF2
T000902,p5@CELF2
T000916,p1@RNU4-5P
T000917,p3@XPNPEP1
T000918,p11@XPNPEP1
T000919,p12@XPNPEP1
T000920,p13@XPNPEP1
T000921,p5@XPNPEP1
T000922,p10@XPNPEP1
T000923,p2@XPNPEP1
T000924,p1@XPNPEP1
T000925,p4@XPNPEP1
T000928,p11@ADD3
T000929,p17@ADD3
T000930,p8@ADD3
T000931,p14@ADD3
T000932,p3@ADD3
T000933,p12@ADD3
T000934,p10@ADD3
T000936,p4@ADD3
T000937,p16@ADD3
T000938,p7@ADD3
T000939,p1@ADD3
T000940,p13@ADD3
T000941,p9@ADD3
T000942,p6@ADD3
T000943,p2@ADD3
T000949,p5@ADD3
T000950,p19@ADD3
T000954,p18@ADD3
T000963,p5@MXI1
T000964,p10@MXI1
T000965,p1@MXI1
T000969,p9@WDR37
T000970,p2@MXI1
T000971,p4@MXI1
T000972,p9@MXI1
T000973,p3@MXI1
T000975,p6@WDR37
T000978,p2@SMNDC1
T000979,p3@SMNDC1
T000980,p1@SMNDC1
T000982,p8@CELF2
T000984,p18@CELF2
T000985,p19@CELF2
T000986,p2@CELF2
T000987,p17@CELF2
T000988,p14@CELF2
T000989,p13@CELF2
T000990,p20@CELF2
T000991,p6@CELF2
T000992,p10@CELF2
T000993,p7@CELF2
T000994,p1@CELF2
T000995,p9@CELF2
T001019,p3@DUSP5
T001023,p2@DUSP5
T001024,p1@DUSP5
T001025,p7@DUSP5
T001027,p9@DUSP5
T001028,p5@DUSP5
T001034,p1@SMC3
T001035,p2@SMC3
T001047,p9@RBM20
T001048,p2@RBM20
T001049,p3@RBM20
T001050,p4@RBM20
T001051,p5@RBM20
T001052,p1@RBM20
T001066,p8@RBM20
T001067,p7@RBM20
T001069,p5@PDCD4
T001070,p3@PDCD4
T001071,p1@PDCD4
T001072,p4@PDCD4
T001075,p10@PDCD4
T001076,p6@PDCD4
T001077,p15@PDCD4
T001078,p22@PDCD4
T001081,p2@MIR4680
T001082,p2@PDCD4
T001083,p7@PDCD4
T001084,p35@PDCD4
T001087,p4@BBIP1
T001088,p1@BBIP1
T001089,p3@BBIP1
T001090,p2@BBIP1
T001091,p2@SHOC2
T001092,p1@SHOC2
T001095,p1@RPL13AP6
T001096,p3@SHOC2
T001098,p3@ADRA2A
T001099,p2@ADRA2A
T001100,p1@ADRA2A
T001123,p9@GPAM
T001124,p10@GPAM
T001125,p11@GPAM
T001126,p12@GPAM
T001127,p13@GPAM
T001128,p1@GPAM
T001129,p14@GPAM
T001130,p7@GPAM
T001131,p8@GPAM
T001132,p6@GPAM
T001133,p2@GPAM
T001134,p3@GPAM
T001138,p1@TECTB
T001141,p9@ACSL5
T001142,p3@ACSL5
T001143,p2@ACSL5
T001144,p8@ACSL5
T001145,p11@ACSL5
T001146,p10@ACSL5
T001147,p5@ACSL5
T001148,p6@ACSL5
T001149,p12@ACSL5
T001150,p14@ACSL5
T001151,p25@ACSL5
T001152,p38@ACSL5
T001153,p15@ACSL5
T001154,p21@ACSL5
T001155,p16@ACSL5
T001158,p1@ACSL5
T001159,p4@ACSL5
T001160,p13@ACSL5
T001161,p39@ACSL5
T001169,p17@ACSL5
T001170,p7@ACSL5
T001171,p19@ACSL5
T001172,p32@ACSL5
T001173,p37@ACSL5
T001174,p29@ACSL5
T001175,p33@ACSL5
T001176,p22@ACSL5
T001179,p3@ZDHHC6
T001180,p4@ZDHHC6
T001181,p1@ZDHHC6
T001182,p2@ZDHHC6
T001183,p2@VTI1A
T001184,p1@VTI1A
T001185,p6@ZDHHC6
T001186,p5@ZDHHC6
T001192,p61@TCF7L2
T001193,p1@TCF7L2
T001194,p5@TCF7L2
T001195,p8@TCF7L2
T001196,p2@TCF7L2
T001197,p4@TCF7L2
T001198,p3@TCF7L2
T001199,p30@TCF7L2
T001200,p6@TCF7L2
T001201,p7@TCF7L2
T001217,p36@TCF7L2
T001218,p26@TCF7L2
T001219,p20@TCF7L2
T001220,p49@TCF7L2
T001221,p60@TCF7L2
T001222,p48@TCF7L2
T001223,p11@TCF7L2
T001224,p62@TCF7L2
T001225,p15@TCF7L2
T001226,p12@TCF7L2
T001254,p2@HABP2
T001255,p1@HABP2
T001256,p4@HABP2
T001257,p3@HABP2
T001258,p5@HABP2
T001260,p4@NRAP
T001266,p1@NRAP
T001267,p3@CASP7
T001268,p4@CASP7
T001269,p7@CASP7
T001270,p5@CASP7
T001271,p2@CASP7
T001272,p1@CASP7
T001273,p10@CASP7
T001276,p11@CASP7
T001277,p12@CASP7
T001278,p2@C10orf81
T001279,p4@C10orf81
T001280,p3@C10orf81
T001281,p1@C10orf81
T001283,p6@DCLRE1A
T001284,p1@DCLRE1A
T001285,p1@NHLRC2
T001286,p4@NHLRC2
T001287,p7@NHLRC2
T001288,p2@NHLRC2
T001290,p5@USP6NL
T001296,p2@ADRB1
T001297,p1@ADRB1
T001298,p4@ADRB1
T001299,p3@ADRB1
T001300,p2@C10orf118
T001303,p1@MIR2110
T001304,p1@C10orf118
T001305,p1@TDRD1
T001306,p3@TDRD1
T001307,p2@TDRD1
T001309,p1@VWA2
T001310,p4@VWA2
T001311,p8@VWA2
T001312,p7@VWA2
T001313,p2@VWA2
T001314,p5@VWA2
T001315,p9@VWA2
T001316,p4@AFAP1L2
T001319,p1@AFAP1L2
T001320,p2@AFAP1L2
T001321,p9@AFAP1L2
T001322,p5@AFAP1L2
T001323,p3@AFAP1L2
T001324,p6@AFAP1L2
T001325,p8@AFAP1L2
T001326,p13@ABLIM1
T001329,p8@ABLIM1
T001330,p4@ABLIM1
T001331,p2@ABLIM1
T001332,p1@ABLIM1
T001338,p14@ABLIM1
T001339,p38@ABLIM1
T001340,p42@ABLIM1
T001341,p20@ABLIM1
T001342,p5@ABLIM1
T001343,p7@ABLIM1
T001344,p9@ABLIM1
T001345,p24@ABLIM1
T001348,p53@ABLIM1
T001349,p39@ABLIM1
T001350,p49@ABLIM1
T001351,p33@ABLIM1
T001352,p6@ABLIM1
T001353,p10@ABLIM1
T001354,p19@ABLIM1
T001355,p32@ABLIM1
T001359,p18@ABLIM1
T001360,p3@ABLIM1
T001361,p17@ABLIM1
T001362,p12@ABLIM1
T001363,p16@ABLIM1
T001364,p11@ABLIM1
T001365,p21@ABLIM1
T001366,p15@ABLIM1
T001367,p34@ABLIM1
T001368,p1@USP6NL
T001369,p3@USP6NL
T001370,p2@USP6NL
T001373,p5@FAM160B1
T001374,p1@FAM160B1
T001376,p1@TRUB1
T001381,p5@ATRNL1
T001382,p2@ATRNL1
T001383,p1@ATRNL1
T001384,p3@ATRNL1
T001385,p4@ATRNL1
T001399,p11@GFRA1
T001400,p12@GFRA1
T001401,p8@GFRA1
T001402,p1@ECHDC3
T001403,p3@ECHDC3
T001404,p2@ECHDC3
T001405,p4@ECHDC3
T001411,p9@GFRA1
T001412,p5@GFRA1
T001413,p1@GFRA1
T001414,p7@GFRA1
T001415,p4@GFRA1
T001416,p13@GFRA1
T001417,p2@GFRA1
T001418,p14@GFRA1
T001419,p3@GFRA1
T001420,p15@GFRA1
T001421,p10@GFRA1
T001423,p2@C10orf96
T001424,p1@C10orf96
T001428,p5@PNLIPRP3
T001429,p2@PNLIPRP3
T001430,p3@PNLIPRP3
T001431,p1@PNLIPRP3
T001432,p4@PNLIPRP3
T001433,p1@PNLIP
T001434,p3@PNLIP
T001435,p2@PNLIP
T001484,p3@PNLIPRP1
T001485,p1@PNLIPRP1
T001486,p2@PNLIPRP1
T001489,p2@PNLIPRP2
T001490,p1@PNLIPRP2
T001494,p2@C10orf82
T001495,p6@C10orf82
T001496,p5@C10orf82
T001498,p4@C10orf82
T001499,p1@C10orf82
T001503,p1@HSPA12A
T001504,p2@HSPA12A
T001508,p1@ENO4
T001511,p2@C10orf47
T001512,p1@C10orf47
T001518,p10@KIAA1598
T001519,p14@KIAA1598
T001520,p13@KIAA1598
T001523,p4@KIAA1598
T001524,p9@KIAA1598
T001525,p2@KIAA1598
T001526,p1@KIAA1598
T001527,p7@KIAA1598
T001528,p5@KIAA1598
T001529,p8@KIAA1598
T001530,p6@KIAA1598
T001531,p3@KIAA1598
T001532,p11@KIAA1598
T001533,p12@KIAA1598
T001534,p16@KIAA1598
T001535,p5@VAX1
T001536,p7@VAX1
T001537,p2@VAX1
T001538,p4@VAX1
T001539,p6@VAX1
T001540,p1@VAX1
T001541,p3@VAX1
T001542,p9@VAX1
T001547,p4@SLC18A2
T001548,p1@SLC18A2
T001549,p3@SLC18A2
T001550,p2@SLC18A2
T001568,p7@PDZD8
T001570,p1@PDZD8
T001571,p3@PDZD8
T001578,p7@EMX2OS
T001579,p10@EMX2OS
T001580,p9@EMX2OS
T001581,p1@EMX2OS
T001582,p2@EMX2OS
T001583,p11@EMX2OS
T001584,p7@EMX2
T001585,p3@EMX2OS
T001586,p5@EMX2OS
T001587,p4@EMX2OS
T001588,p8@EMX2OS
T001589,p6@EMX2OS
T001590,p13@EMX2OS
T001591,p8@EMX2
T001592,p6@EMX2
T001593,p1@EMX2
T001594,p4@EMX2
T001595,p9@EMX2
T001596,p24@EMX2
T001597,p5@EMX2
T001598,p3@EMX2
T001599,p25@EMX2
T001600,p2@EMX2
T001601,p23@EMX2
T001602,p10@EMX2
T001611,p10@RAB11FIP2
T001612,p7@RAB11FIP2
T001613,p5@RAB11FIP2
T001614,p4@RAB11FIP2
T001615,p1@RAB11FIP2
T001616,p2@RAB11FIP2
T001617,p1@CASC2
T001623,p3@FAM204A
T001624,p2@FAM204A
T001625,p1@FAM204A
T001633,p1@PRLHR
T001634,p3@C10orf46
T001635,p2@C10orf46
T001636,p1@C10orf46
T001637,p8@C10orf46
T001638,p15@C10orf46
T001644,p1@LINC00200
T001647,p1@NANOS1
T001650,p5@EIF3A
T001651,p8@EIF3A
T001652,p4@EIF3A
T001653,p12@EIF3A
T001654,p7@EIF3A
T001658,p3@EIF3A
T001671,p6@EIF3A
T001677,p2@EIF3A
T001678,p1@EIF3A
T001680,p29@EIF3A
T001681,p1@UPF2
T001682,p2@UPF2
T001684,"p1@FAM45A
T001689,p10@SFXN4
T001690,p2@SFXN4
T001691,p1@SFXN4
T001693,p1@PRDX3
T001695,p3@GRK5
T001696,p1@GRK5
T001697,p2@GRK5
T001698,p4@GRK5
T001699,p6@GRK5
